,,,שנה קבלת אירוע,Total,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017
מועצה  מקומית או עירייה או מועצה אזורית,נושא ארוע,סוג אירוע,רבעון קבלת אירוע,,Total,Q1,Q2,Q3,Q4,Total,Q1,Q2,Q3,Q4,Total,Q1,Q2
אלפי מנשה,Total,,,600,242,39,81,72,50,256,37,76,70,73,102,47,55
אלפי מנשה,תנועה,Total,,285,90,19,23,27,21,138,23,32,41,42,57,30,27
אלפי מנשה,תנועה,הסגת גבול - חניה פרטית,,37,-,-,-,-,-,25,-,9,6,10,12,8,$
אלפי מנשה,תנועה,חסימת מעבר,,182,67,13,18,22,14,80,14,17,24,25,35,18,17
אלפי מנשה,תנועה,רכב חונה באיסור,,66,23,6,5,5,7,33,9,6,11,7,10,$,6
אלפי מנשה,איכות חיים,Total,,279,134,19,56,38,21,107,11,40,28,28,38,14,24
אלפי מנשה,איכות חיים,גרימת רעש מבית,,175,85,14,39,15,17,64,6,25,16,17,26,11,15
אלפי מנשה,איכות חיים,גרימת רעש ממקום ציבורי,,102,49,5,17,23,$,42,5,14,12,11,11,$,8
אלפי מנשה,איכות חיים,גרימת רעש מעסק,,$,-,-,-,-,-,$,-,$,-,-,$,-,$
אלפי מנשה,סדר ציבורי,Total,,7,$,-,-,$,$,$,-,-,$,$,$,-,$
אלפי מנשה,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,7,$,-,-,$,$,$,-,-,$,$,$,-,$
אלפי מנשה,אלימות,Total,,18,6,-,$,$,$,8,$,$,-,$,$,$,$
אלפי מנשה,אלימות,סכסוך - שכנים,,8,-,-,-,-,-,$,-,$,-,$,$,$,$
אלפי מנשה,אלימות,סכסוך שכנים עסקי,,10,6,-,$,$,$,$,$,$,-,-,-,-,-
אלפי מנשה,סמים ואלכוהול,Total,,11,8,$,$,$,5,$,-,$,-,-,$,$,-
אלפי מנשה,סמים ואלכוהול,שכרות,,11,8,$,$,$,5,$,-,$,-,-,$,$,-
אלקנה,Total,,,88,29,9,5,10,5,37,9,5,11,12,22,15,7
אלקנה,תנועה,Total,,48,13,6,$,$,$,24,7,$,6,10,11,9,$
